NAAN,REC_ID,ACCT,DESC,SOURCE,Code,SubCat,AMOUNT_HIST
2109845,7000558423,92902600,BB11B0055,50000411,9795,JPC,-43916.93
2111427,7000559152,97902600,BB11B0055,50000411,9795,JPC,-33648.4
